wave number,modifier,rank,enemy type 1,enemy quantity 1,enemy type 2,enemy quantity 2,enemy type 3, enemy quantity 3
1,,1,tiny,2,,,,
2,,1,tiny,4,,,,
3,,1,small,2,,,,
4,,1,tiny flying,2,,,,
5,,1,tiny,6,,,,
6,,1,tiny flying,3,,,,
7,,1,small flying,2,,,,
8,,1,small,3,,,,
9,regeneration,1,medium,1,,,,
10,,1,tiny,10,,,,
11,,1,medium,2,small,4,,
12,,1,medium flying,1,,,,
13,fast,1,small flying,2,,,,
14,,1,small,5,,,,
15,,1,big,2,,,,
16,,1,medium flying,2,tiny flying,4,,
17,,1,tiny,14,,,,
18,,1,big flying,1,,,,
19,fire shield,1,small,5,,,,
20,fast,1,medium,3,,,,
21,,2,small flying,4,,,,
22,,2,medium flying,2,,,,
23,,2,medium,2,tiny,8,,
24,,2,small,8,,,,
25,ice shield,2,big,2,,,,
26,,2,medium flying,2,,,,
27,,2,tiny flying,10,,,,
28,fast,2,tiny flying,5,,,,
29,,2,medium,5,,,,
30,regeneration,2,big,2,,,,
31,,2,small flying,8,,,,
32,,2,big,1,small,6,,
33,fast,2,tiny,8,,,,
34,,2,medium,7,,,,
35,,2,big flying,1,medium flying,2,tiny flying,6
36,regeneration,2,small flying,6,,,,
37,,2,small,10,,,,
38,,2,medium,3,tiny,9,,
39,ice shield,2,small,2,,,,
40,fast,2,medium flying,5,,,,
41,,3,tiny,12,,,,
42,,3,small,8,,,,
43,,3,tiny flying,10,,,,
44,,3,medium flying,3,tiny flying,6,,
45,,3,big,1,small,3,tiny,6
46,regeneration,3,medium,6,,,,
47,,3,small,12,,,,
48,,3,small flying,10,,,,
49,fast,3,big flying,2,,,,
50,ice shield,3,medium flying,5,,,,
51,,3,medium,5,tiny,12,,
52,regeneration,3,big,5,,,,
53,,3,big flying,2,,,,
54,,3,small flying,4,tiny flying,10,,
55,fire shield,3,small,8,,,,
56,fast,3,tiny,10,,,,
57,,3,medium,3,small,6,tiny,12
58,,3,medium flying,7,,,,
59,,3,tiny flying,14,,,,
60,regeneration,3,medium,5,,,,
61,,4,tiny,8,,,,
62,,4,small,6,,,,
63,,4,small flying,6,,,,
64,fast,4,medium flying,3,,,,
65,,4,medium,4,tiny,10,,
66,,4,big,2,small,8,,
67,,4,big flying,2,,,,
68,,4,medium flying,3,tiny flying,8,,
69,fast,4,medium,4,,,,
70,,4,big,3,medium,6,tiny,12
