wave number,modifier,rank,enemy type 1,enemy quantity 1,enemy type 2,enemy quantity 2,enemy type 3, enemy quantity 3
1,,1,tiny,2,,,,
2,,1,tiny,4,,,,
3,,1,tiny flying,2,,,,
4,,1,small,2,,,,
5,,1,medium,1,tiny,5,,
6,,1,small,4,,,,
7,,1,tiny flying,4,,,,
8,,1,small flying,3,,,,
9,,1,tiny,6,small,3,,
10,fast,1,medium,2,,,,
11,,1,big,2,,,,
12,,1,medium flying,1,small flying,4,,
13,fast,1,tiny flying,8,,,,
14,,1,tiny,12,,,,
15,,1,big,2,small,6,,
16,,1,medium flying,4,,,,
17,,1,big flying,4,,,,
18,ice shield,1,tiny,10,,,,
19,,1,medium,6,,,,
20,,1,small,8,,,,
21,,2,small,4,,,,
22,,2,small flying,4,,,,
23,,2,medium,2,tiny,4,,
24,regeneration,2,big,1,,,,
25,,2,medium,2,small,4,tiny,8
26,,2,medium flying,4,,,,
27,fire shield,2,tiny flying,10,,,,
28,,2,big,3,,,,
29,,2,tiny,6,small,4,,
30,,2,medium flying,1,small flying,3,tiny flying,6
