wave number,modifier,rank,enemy type 1,enemy quantity 1,enemy type 2,enemy quantity 2,enemy type 3, enemy quantity 3
1,,1,tiny,1,,,,
2,,1,tiny,3,,,,
3,,1,medium,1,,,,
4,,1,tiny flying,1,,,,
5,,1,tiny,6,,,,
6,,1,small,2,,,,
7,,1,tiny flying,3,,,,
8,,1,medium,1,tiny,5,,
9,,1,small,4,,,,
10,,1,big,2,,,,
11,,1,small flying,2,,,,
12,,1,medium flying,1,tiny flying,4,,
13,,1,medium,4,,,,
14,,1,tiny,8,,,,
15,,1,medium flying,2,,,,
16,,1,big,1,small,5,,
17,,1,tiny flying,6,,,,
18,,1,medium,2,small,6,,
19,,1,big,3,,,,
20,,1,big flying,1,medium flying,2,,
